Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air slope ()	air valve control ()
0.620704166	3009.929443	9.385814667	36812.67578	9397899.552	0.020889483
0.620715692	2816.499512	9.420936585	36812.67578	9397899.552	0.020642577
0.620727295	2756.491455	9.429779053	36812.67578	9397899.552	0.020721041
0.620738896	2600.514648	9.451811791	36827.45313	9397899.552	0.020668619
0.620750458	3135.996582	9.42634964	36827.45313	9397899.552	0.020704538
0.620762029	3075.041992	9.42915535	36827.45313	9397899.552	0.02092442
0.620773611	2735.11084	9.422194481	36827.45313	9397899.552	0.020636838
0.620785146	3247.798584	9.441461563	36827.45313	9397899.552	0.020746722
0.620796743	2893.905273	9.432635307	36901.89453	9397899.552	0.020768754
0.620808281	2730.605469	9.431038857	36901.89453	9397899.552	0.020617904
0.620819883	3186.72583	9.443163872	36901.89453	9397899.552	0.020793775
0.620831463	2673.862061	9.423402786	36901.89453	9397899.552	0.020632198
0.620843045	2674.873291	9.458490372	36901.89453	9397899.552	0.020608084
0.620854617	3056.043213	9.445382118	37001.17578	9397899.552	0.020879716
0.62086621	2690.136963	9.4423666	37001.17578	9397899.552	0.020579548
0.620877769	3077.376953	9.442839623	37001.17578	9397899.552	0.020644353
0.620889338	2955.224854	9.434515953	37001.17578	9397899.552	0.020792874
0.620900934	2841.895508	9.429589272	37001.17578	9397899.552	0.020595277
0.620912499	3066.580566	9.426257134	37041.89453	9397899.552	0.020734519
0.620923927	2815.863281	9.422011375	37041.89453	9397899.552	0.020672772
0.620935645	3105.361572	9.419314385	37041.89453	9397899.552	0.020627181
0.620947221	2745.223145	9.413184166	37041.89453	9397899.552	0.020658143
0.620958792	2536.989258	9.413664818	37041.89453	9397899.552	0.020530799
0.620970351	3174.635254	9.426038742	37109.41797	9397899.552	0.02062212
0.620981922	2719.190918	9.42182827	37109.41797	9397899.552	0.020644585
0.620993495	2514.600098	9.420519829	37109.41797	9397899.552	0.020513031
0.621005087	3206.125732	9.409029961	37109.41797	9397899.552	0.020636058
0.621016672	2875.151367	9.420751572	37109.41797	9397899.552	0.020701895
0.621028241	2676.383789	9.418935776	37186.63672	9397899.552	0.02050107
0.621039818	3214.243408	9.423282623	37186.63672	9397899.552	0.020729179
0.621051363	2602.208496	9.415360451	37186.63672	9397899.552	0.020494505
0.621062948	2743.246582	9.413305283	37186.63672	9397899.552	0.020509234
